"company","job-title","level","description","job-url"
"Jefferson Frank","Fullstack Developer - Fintech - Kampii, Helsinki","Entry level","This role is available through Jefferson Frank, an international agency that has grown to be one of the trusted recruitment partners to businesses across Finland in different industries and domains. To learn more about this opportunity, reach out to George Paxton on LinkedIn who is responsible for this advert.Company DetailsSkills & expertise shortages with start-ups & SME's is a common issue that the majority of Entrepreneur's will experience at some point along the way of setting up their business, in a world of everyone being a specialist in something, even with the luxury of capital investment, hiring more expertise is not always the logical solution.This SaaS client based in Helsinki looks to solve one of these issues when it comes to financial invoicing for small and growing enterprises within Europe. Their goal is to be a pioneer within invoicing services whose open and innovative approach means Entrepreneur's can continue to grow their business with confidence that their finances are taken care of, taking care of all paperwork and employer payments.The RoleDespite being immersed in a key growth in the company's history, they already have a mature & well structured setup with 16+ members inthe team that include a Tech Lead, Fullstack + Backend developers and a UI/UX professional with the ambition of adding multiple heads before the end of 2023.With the product growing in popularity, you'd be in a classic product development role, primarily focused on the backend. They already have a scalable system written with Node, TypeScript & Angular. The chosen candidate's primarily responsibility will be to write RestAPI's from scratch and integrate solutions into customers environments in addition to multiple book-keeping softwares.You'll be working cross-functionally not only with tech professionals but also marketing to ensure the customer experience is as efficient as possible in addition to personally promoting the product. Furthermore, you'll be working across the full development lifecycle from understanding requirements, building solutions and deployments to the mature architecture.What they're looking for? 5+ years Fullstack experience working with frameworks including Node, TypeScript & Angular. Firebase experience.Beneficial If You Have Experience from past product development roles. Finnish speaking.Next StepsIf you're looking to join an ambitious & growing product development setup within a hot industry, this could be for you. They already have plans in place to expand to other European countries including Sweden, Germany and the UK whilst maintaining their open team with a close-knit feel.If you're considering taking that next step for this opportunity or simply want to learn more about this company or others that Jefferson Frank is actively working in Finland. Submit your CV via this job portal or reach out to George Paxton on LinkedIn.","https://fi.linkedin.com/jobs/view/fullstack-developer-fintech-kampii-helsinki-at-jefferson-frank-3718916410"
"Ekahau","Full Stack Developer","Entry level","DescriptionPosition at EkahauAbout EkahauEkahau helps businesses build and maintain high-performing wireless networks. Our award-winning Wi-Fi design, site survey, and troubleshooting solutions create fast, reliable Wi-Fi networks that businesses can trust for their mission-critical wireless needs. We ensure networks are optimized using the right number of access points, positioned in the right locations, and with the right configurations to deliver awesome Wi-Fi every day. Businesses of every size, including the world’s biggest brands and events, trust Ekahau to get the best performance from their wireless networks.Job DescriptionWe are looking for a new team member for our team building our cloud software products. You would be responsible for designing and implementing high-performing, highly available, and secure backend services that meet our business requirements. You would do this together with our team of backend and frontend/fullstack developers.Your main activities would include lots of coding, architectural design, and developing optimal technical solutions for business problems in the backend. Still, having full stack experience or interest in it wouldn't hurt but would be a big plus. You would also review the code to ensure our code base stays clean and the changes meet our technical requirements.The technology stack currently includes AWS, Postgres, Terraform, Java Spring Boot, TypeScript, and Vue. However, we are using service oriented and layered architecture, so in the future, we are not locked into any particular technology. We might add more things to the mix based on our assessment. We are already using Scala, Kotlin and Ktor on some new microservices, and we are constantly evaluating which tech fits best our needs.What we wish from you:You have backend development experience on SaaS application.You are familiar with the current state of the art backend technologies and toolchains.You are familiar with Java and Spring Boot. You are familiar with databases, especially with PostgreSQL.You have 3+ years experience in frontend using Vue/React/Angular 3 or similar technology.You are eager to learn and try new technologies and innovate new approaches to meet new business requirements.You have 6+ years of software development experience.You get things done, and you have a growth mindset.You have communications skills in written and spoken English.We know that we're asking a lot, but in exchange, we are also offering a bunch of:Be a part of an international world-class software company in the fast-growing market.Work and learn together with highly skilled, extremely nice, and relaxed teammates.Challenging and wide variety of work tasks that guarantee your professional growth.Competitive salary with fringe benefits, such as health care, insurance, phone, home internet connection, lunch and sports vouchers, and commuter benefit, just a few to mention. Employees may take up to 16 hours of paid time off annually to participate in their specific volunteer program.We offer top-notch working equipment.Flexible working hours, remote and hybrid work possibilities.Nice modern office environment in the center of Helsinki.You can be from the Helsinki metropolitan area to be office based, but the rest of Finland is cool too.If you think this has your name on it, let us know that you exist! We'll invite the best applicants to our office for a chat over a great cup of Italian coffee.We fill the position after finding a suitable candidate.","https://fi.linkedin.com/jobs/view/full-stack-developer-at-ekahau-3644753956"
"Jefferson Frank","Scala & Java Fullstack Developer","Entry level","Job DescriptionCustomer service company (Product company) with a large amount of energetic and motivated professionals. You would be working within a positive company culture that encourages individualism, ownership of responsibilities, and of course teamwork. The reason for hiring is their product has a larger demand and they want introduce more developers of all levels with a knowledge of Functional programming and a modern Front end language knowledge.Role & Responsibilities Modern Tech Stacks Micro services Architecture on AWS Solving complex problems with insightful solutionsSkills & Qualifications Scala/Java Typescript, react AWS Git, LinuxBenefits Pension Phone and computer Bonus scheme","https://fi.linkedin.com/jobs/view/scala-java-fullstack-developer-at-jefferson-frank-3665704231"
